Date,Time,Site_name,Sonde_Name,Depth(m),Temperature (℃),Salinity(ppt),Dissolved oxygen (mg/L)
8/1/18,0:00:01,Yim Tin Tsai,Upper,1.04,31.95,30.45,8.69
8/1/18,0:10:01,Yim Tin Tsai,Upper,1.039,31.6,30.76,8.76
8/1/18,0:20:01,Yim Tin Tsai,Upper,1.037,31.57,30.87,8.89
8/1/18,0:30:02,Yim Tin Tsai,Upper,1.037,31.54,30.85,8.9
8/1/18,0:40:01,Yim Tin Tsai,Upper,1.035,31.46,30.92,8.88
8/1/18,0:50:01,Yim Tin Tsai,Upper,1.036,31.4,30.95,8.52
8/1/18,1:00:01,Yim Tin Tsai,Upper,1.037,31.35,30.96,8.63
8/1/18,1:10:02,Yim Tin Tsai,Upper,1.037,31.27,30.99,8.47
8/1/18,1:20:02,Yim Tin Tsai,Upper,1.037,31.31,31.02,8.19
8/1/18,1:30:02,Yim Tin Tsai,Upper,1.037,31.27,31.04,8.41
8/1/18,1:40:01,Yim Tin Tsai,Upper,1.036,31.2,31.09,8.4
8/1/18,1:50:01,Yim Tin Tsai,Upper,1.035,31.1,31.13,8.01
8/1/18,2:00:02,Yim Tin Tsai,Upper,1.034,31.07,31.18,7.88
8/1/18,2:10:02,Yim Tin Tsai,Upper,1.034,31.05,31.24,8.33
8/1/18,2:20:01,Yim Tin Tsai,Upper,1.035,31.02,31.25,8.25
8/1/18,2:30:01,Yim Tin Tsai,Upper,1.035,31.02,31.25,8.13
8/1/18,2:40:01,Yim Tin Tsai,Upper,1.035,31,31.25,8.02
8/1/18,2:50:01,Yim Tin Tsai,Upper,1.037,30.98,31.26,7.93
8/1/18,3:00:01,Yim Tin Tsai,Upper,1.035,30.9,31.26,7.62
8/1/18,3:10:01,Yim Tin Tsai,Upper,1.034,30.92,31.29,7.99
8/1/18,3:20:01,Yim Tin Tsai,Upper,1.033,30.88,31.3,7.97
8/1/18,3:30:01,Yim Tin Tsai,Upper,1.034,30.9,31.29,7.65
8/1/18,3:40:02,Yim Tin Tsai,Upper,1.034,31.07,31.18,7.86
8/1/18,3:50:01,Yim Tin Tsai,Upper,1.035,30.91,31.22,6.96
8/1/18,4:00:01,Yim Tin Tsai,Upper,1.034,30.79,31.31,6.79
8/1/18,4:10:01,Yim Tin Tsai,Upper,1.033,30.39,31.49,6.28
8/1/18,4:20:01,Yim Tin Tsai,Upper,1.034,30.46,31.44,6.1
8/1/18,4:30:02,Yim Tin Tsai,Upper,1.034,30.44,31.5,5.66
8/1/18,4:40:02,Yim Tin Tsai,Upper,1.035,30.27,31.58,6.45
8/1/18,4:50:02,Yim Tin Tsai,Upper,1.035,30.18,31.62,6.05
8/1/18,5:00:01,Yim Tin Tsai,Upper,1.034,30.25,31.58,6.1
8/1/18,5:10:01,Yim Tin Tsai,Upper,1.034,30.19,31.63,6.2
8/1/18,5:20:01,Yim Tin Tsai,Upper,1.033,30.46,31.46,5.97
8/1/18,5:30:01,Yim Tin Tsai,Upper,1.033,30.93,31.25,7.74
8/1/18,5:40:01,Yim Tin Tsai,Upper,1.034,31.07,31.22,8.34
8/1/18,5:50:01,Yim Tin Tsai,Upper,1.036,30.83,31.29,7.08
8/1/18,6:00:01,Yim Tin Tsai,Upper,1.035,30.67,31.4,7.07
