DateTime,Depth(m),Temperature (℃),Salinity(ppt),Dissolved oxygen (mg/L)
2018-06-01 0:00:01,3.807,25.36,33.7,5.23
2018-06-01 0:10:01,3.806,25.42,33.68,5.28
2018-06-01 0:20:01,3.806,25.28,33.66,4.9
2018-06-01 0:30:01,3.806,25.22,33.67,5.14
2018-06-01 0:40:01,3.805,25.21,33.69,4.93
2018-06-01 0:50:02,3.806,25.27,33.67,5.19
2018-06-01 1:00:02,3.804,25.26,33.68,5.05
2018-06-01 1:10:02,3.804,25.31,33.64,5.04
2018-06-01 1:20:01,3.805,25.37,33.64,5.26
2018-06-01 1:30:01,3.805,25.46,33.62,5.42
2018-06-01 1:40:01,3.806,25.44,33.65,5.47
2018-06-01 1:50:02,3.805,25.55,33.61,5.62
2018-06-01 2:00:01,3.802,25.46,33.65,5.24
2018-06-01 2:10:02,3.804,25.43,33.62,5.12
2018-06-01 2:20:02,3.801,25.19,33.68,4.21
2018-06-01 2:30:01,3.801,25.17,33.67,4.29
2018-06-01 2:40:02,3.8,25.13,33.68,3.71
2018-06-01 2:50:01,3.801,25.15,33.67,3.48
2018-06-01 3:00:01,3.8,25.1,33.68,3.51
2018-06-01 3:10:02,3.8,25.11,33.69,3.35
2018-06-01 3:20:02,3.8,25.03,33.7,2.88
2018-06-01 3:30:02,3.801,25.11,33.71,3.19
2018-06-01 3:40:01,3.8,25.16,33.69,3.67
2018-06-01 3:50:01,3.801,25.26,33.66,4.28
2018-06-01 4:00:01,3.8,25.29,33.66,4.33
2018-06-01 4:10:02,3.801,25.27,33.66,4.45
2018-06-01 4:20:01,3.801,25.27,33.66,4.41
2018-06-01 4:30:01,3.804,25.26,33.66,4.25
2018-06-01 4:40:01,3.802,25.26,33.66,4.26
2018-06-01 4:50:02,3.803,25.28,33.65,4.35
2018-06-01 5:00:01,3.802,25.3,33.65,4.44
2018-06-01 5:10:01,3.802,25.33,33.65,4.47
2018-06-01 5:20:01,3.802,25.24,33.66,3.97
2018-06-01 5:30:02,3.803,25.27,33.66,4.08
2018-06-01 5:40:01,3.806,25.3,33.66,4.23
2018-06-01 5:50:02,3.806,25.28,33.66,3.93
2018-06-01 6:00:01,3.807,25.26,33.66,3.62
2018-06-01 6:10:01,3.807,25.3,33.66,3.65
2018-06-01 6:20:02,3.814,25.33,33.66,3.85
2018-06-01 6:30:01,3.808,25.36,33.65,4.06
2018-06-01 6:40:01,3.809,25.27,33.65,3.89
2018-06-01 6:50:01,3.81,25.41,33.62,4.42
2018-06-01 7:00:02,3.813,25.53,33.6,4.64
2018-06-01 7:10:01,3.811,25.44,33.67,4.27
2018-06-01 7:20:02,3.811,25.55,33.61,4.68
2018-06-01 7:30:01,3.812,25.47,33.63,4.28
2018-06-01 7:40:01,3.813,25.66,33.61,4.71
2018-06-01 7:50:02,3.815,25.98,33.57,5.55
2018-06-01 8:00:01,3.817,25.85,33.6,5.31
2018-06-01 8:10:01,3.817,25.7,33.61,4.87
2018-06-01 8:20:02,3.815,25.59,33.6,4.74
2018-06-01 8:30:02,3.818,25.84,33.58,5.13
2018-06-01 8:40:02,3.817,25.36,33.69,3.78
2018-06-01 8:50:01,3.817,25.61,33.6,4.52
2018-06-01 9:00:02,3.819,25.24,33.68,3.74
2018-06-01 9:10:01,3.817,25.4,33.65,4.61
2018-06-01 9:20:01,3.817,25.78,33.6,5.5
2018-06-01 9:30:01,3.827,25.64,33.62,4.83
2018-06-01 9:40:01,3.84,25.75,33.58,5.42
2018-06-01 9:50:02,3.845,25.69,33.61,5.32
2018-06-01 10:00:02,3.842,25.79,33.61,5.74
2018-06-01 10:10:02,3.848,25.59,33.6,4.84
2018-06-01 10:20:01,3.86,25.68,33.6,5.4
2018-06-01 10:30:01,3.852,25.52,33.62,5.07
2018-06-01 10:40:01,3.879,26.26,33.53,6.11
2018-06-01 10:50:02,3.902,25.9,33.54,5.79
2018-06-01 11:00:01,3.913,26.09,33.54,5.94
2018-06-01 11:10:01,3.921,26,33.53,5.67
2018-06-01 11:20:01,3.924,25.85,33.55,5.6
2018-06-01 11:30:02,3.931,25.72,33.61,5.16
2018-06-01 11:40:01,3.916,26.12,33.52,5.84
2018-06-01 11:50:01,3.922,26.08,33.54,6.13
2018-06-01 12:00:02,3.924,25.81,33.57,5.72
2018-06-01 12:10:02,3.9,25.98,33.54,6.03
2018-06-01 12:20:02,3.86,26,33.52,6.19
2018-06-01 12:30:01,3.828,26.07,33.55,6.17
2018-06-01 12:40:01,3.817,26.11,33.56,6.09
2018-06-01 12:50:01,3.813,26.04,33.57,6.14
2018-06-01 13:00:02,3.813,26.01,33.58,6.01
2018-06-01 13:10:02,3.8,26.08,33.56,6.09
2018-06-01 13:20:01,3.807,26.15,33.54,6.23
2018-06-01 13:30:02,3.814,26.21,33.55,6.1
2018-06-01 13:40:01,3.815,26.14,33.54,6.18
2018-06-01 13:50:02,3.814,26.08,33.57,6.25
2018-06-01 14:00:01,3.799,26.17,33.55,6.22
2018-06-01 14:10:01,3.802,25.94,33.59,6.13
2018-06-01 14:20:02,3.803,25.94,33.61,5.92
2018-06-01 14:30:02,3.798,25.87,33.57,5.84
2018-06-01 14:40:02,3.783,25.82,33.59,5.81
2018-06-01 14:50:01,3.799,25.76,33.59,5.76
2018-06-01 15:00:02,3.796,25.8,33.54,5.86
2018-06-01 15:10:02,3.781,25.82,33.53,5.52
2018-06-01 15:20:01,3.794,25.5,33.65,5.34
2018-06-01 15:30:02,3.792,25.6,33.58,5.5
2018-06-01 15:40:02,3.791,25.41,33.66,5.44
2018-06-01 15:50:01,3.792,25.55,33.64,5.56
2018-06-01 16:00:01,3.8,25.64,33.62,5.58
2018-06-01 16:10:02,3.794,25.6,33.61,5.46
2018-06-01 16:20:01,3.795,25.58,33.63,5.51
2018-06-01 16:30:01,3.787,25.81,33.57,5.56
2018-06-01 16:40:02,3.788,25.93,33.57,5.64
2018-06-01 16:50:02,3.784,25.94,33.59,5.62
2018-06-01 17:00:02,3.788,25.84,33.57,5.58
2018-06-01 17:10:01,3.789,25.86,33.57,5.59
2018-06-01 17:20:01,3.786,25.79,33.52,5.53
2018-06-01 17:30:01,3.788,25.94,33.48,5.76
2018-06-01 17:40:01,3.789,26.19,33.48,6.03
2018-06-01 17:50:02,3.796,26.11,33.48,6.17
2018-06-01 18:00:01,3.793,26.21,33.46,6.22
2018-06-01 18:10:02,3.796,26.13,33.53,6.07
2018-06-01 18:20:01,3.793,26.13,33.54,6.03
2018-06-01 18:30:02,3.794,26.24,33.52,6.01
2018-06-01 18:40:02,3.792,26.28,33.5,6
2018-06-01 18:50:02,3.796,26.19,33.52,5.95
2018-06-01 19:00:02,3.798,26.24,33.49,6.1
2018-06-01 19:10:01,3.797,26.16,33.54,6.23
2018-06-01 19:20:02,3.801,26.28,33.53,6.19
2018-06-01 19:30:01,3.8,26.52,33.49,5.98
2018-06-01 19:40:01,3.804,26.39,33.52,5.99
2018-06-01 19:50:02,3.807,26.45,33.51,6.05
2018-06-01 20:00:02,3.809,26.48,33.52,6.12
2018-06-01 20:10:01,3.811,26.68,33.45,6.06
2018-06-01 20:20:02,3.808,26.76,33.44,6.11
2018-06-01 20:30:02,3.81,26.94,33.4,6.34
2018-06-01 20:40:01,3.81,26.98,33.44,6.45
2018-06-01 20:50:02,3.813,27.11,33.43,6.36
2018-06-01 21:00:01,3.813,27.12,33.46,6.43
2018-06-01 21:10:02,3.813,27.15,33.43,6.48
2018-06-01 21:20:01,3.815,27.2,33.41,6.5
2018-06-01 21:30:02,3.82,27.19,33.39,6.55
2018-06-01 21:40:02,3.822,27.2,33.4,6.56
2018-06-01 21:50:01,3.823,27.23,33.41,6.59
2018-06-01 22:00:02,3.822,27.22,33.41,6.59
2018-06-01 22:10:01,3.824,27.22,33.4,6.48
2018-06-01 22:20:02,3.825,27.2,33.41,6.47
2018-06-01 22:30:02,3.826,27.11,33.4,6.39
2018-06-01 22:40:01,3.826,27.01,33.42,6.29
2018-06-01 22:50:01,3.827,27.04,33.43,6.26
2018-06-01 23:00:01,3.824,27.26,33.4,6.41
2018-06-01 23:10:02,3.826,27.07,33.43,6.26
2018-06-01 23:20:02,3.825,26.96,33.44,6.18
2018-06-01 23:30:02,3.824,27.11,33.41,6.3
2018-06-01 23:40:02,3.827,27.12,33.43,6.28
2018-06-01 23:50:02,3.824,27.2,33.39,6.32
2018-06-02 0:00:01,3.824,27.14,33.42,6.3
2018-06-02 0:10:01,3.821,27.04,33.41,6.2
2018-06-02 0:20:02,3.82,26.98,33.45,6.24
2018-06-02 0:30:01,3.819,26.97,33.44,6.26
2018-06-02 0:40:02,3.82,26.92,33.44,6.22
2018-06-02 0:50:01,3.818,26.83,33.46,6.08
2018-06-02 1:00:01,3.816,26.83,33.45,6.11
2018-06-02 1:10:01,3.817,26.84,33.44,6.06
2018-06-02 1:20:01,3.815,26.9,33.44,6.19
2018-06-02 1:30:01,3.814,26.95,33.43,6.22
2018-06-02 1:40:02,3.814,26.97,33.42,6.25
2018-06-02 1:50:01,3.812,26.97,33.41,6.38
2018-06-02 2:00:01,3.812,26.95,33.41,6.33
2018-06-02 2:10:01,3.812,27.01,33.41,6.25
2018-06-02 2:20:02,3.812,27.06,33.4,6.17
2018-06-02 2:30:02,3.812,27.05,33.4,6.2
2018-06-02 2:40:02,3.81,27.03,33.4,6.21
2018-06-02 2:50:01,3.81,27.03,33.4,6.18
2018-06-02 3:00:01,3.808,26.99,33.41,6.08
2018-06-02 3:10:01,3.809,26.98,33.43,6.15
2018-06-02 3:20:02,3.808,26.96,33.42,6.16
2018-06-02 3:30:01,3.807,26.99,33.4,5.99
2018-06-02 3:40:01,3.807,26.93,33.42,5.79
2018-06-02 3:50:02,3.806,26.88,33.43,6.09
2018-06-02 4:00:02,3.805,26.92,33.44,6.01
2018-06-02 4:10:02,3.805,26.87,33.44,6.09
2018-06-02 4:20:01,3.805,26.91,33.43,6.06
2018-06-02 4:30:02,3.803,26.91,33.43,6.1
2018-06-02 4:40:01,3.804,26.91,33.41,6.1
2018-06-02 4:50:02,3.805,26.89,33.44,5.99
2018-06-02 5:00:02,3.805,26.95,33.41,6.14
2018-06-02 5:10:02,3.804,26.94,33.43,6.06
2018-06-02 5:20:01,3.804,26.94,33.42,6.06
2018-06-02 5:30:02,3.803,26.91,33.43,6.04
2018-06-02 5:40:01,3.806,26.94,33.42,5.97
2018-06-02 5:50:02,3.808,26.95,33.42,5.83
2018-06-02 6:00:01,3.811,26.95,33.41,6
2018-06-02 6:10:01,3.813,26.95,33.41,5.99
2018-06-02 6:20:01,3.817,26.97,33.41,6.01
2018-06-02 6:30:01,3.811,26.96,33.41,6.01
2018-06-02 6:40:02,3.813,26.95,33.41,5.98
2018-06-02 6:50:02,3.815,26.84,33.43,5.71
2018-06-02 7:00:02,3.816,26.82,33.37,5.67
2018-06-02 7:10:01,3.815,26.82,33.42,5.69
2018-06-02 7:20:02,3.814,26.88,33.42,5.63
2018-06-02 7:30:01,3.815,26.85,33.43,5.76
2018-06-02 7:40:01,3.815,26.81,33.43,5.67
2018-06-02 7:50:01,3.822,26.82,33.43,5.66
2018-06-02 8:00:01,3.824,26.94,33.41,6
2018-06-02 8:10:01,3.825,26.92,33.39,5.95
2018-06-02 8:20:01,3.826,26.94,33.42,6.04
2018-06-02 8:30:02,3.829,26.95,33.41,6.01
2018-06-02 8:40:02,3.828,26.94,33.41,6.06
2018-06-02 8:50:01,3.822,26.83,33.43,5.78
2018-06-02 9:00:01,3.83,26.91,33.43,6.06
2018-06-02 9:10:02,3.841,26.9,33.38,5.9
2018-06-02 9:20:01,3.837,26.9,33.44,5.83
2018-06-02 9:30:01,3.828,26.92,33.33,6.02
2018-06-02 9:40:02,3.825,26.92,33.43,6
2018-06-02 9:50:01,3.828,26.93,33.42,6.04
2018-06-02 10:00:01,3.826,26.93,33.43,6.08
2018-06-02 10:10:02,3.829,26.97,33.42,6.12
2018-06-02 10:20:01,3.828,26.99,33.42,6.2
2018-06-02 10:30:02,3.83,27.02,33.42,6.3
2018-06-02 10:40:01,3.828,26.95,33.43,6.06
2018-06-02 10:50:01,3.828,26.92,33.42,5.99
2018-06-02 11:00:02,3.826,26.94,33.42,6.06
2018-06-02 11:10:01,3.826,26.9,33.43,5.97
2018-06-02 11:20:02,3.831,26.93,33.43,6.09
2018-06-02 11:30:02,3.824,26.91,33.43,6.05
2018-06-02 11:40:01,3.824,26.85,33.44,6.02
2018-06-02 11:50:01,3.823,26.83,33.45,6.17
2018-06-02 12:00:02,3.827,26.83,33.46,6.19
2018-06-02 12:10:01,3.826,26.91,33.43,6.27
2018-06-02 12:20:01,3.823,26.88,33.44,6.27
2018-06-02 12:30:02,3.822,26.89,33.44,6.22
2018-06-02 12:40:01,3.819,26.9,33.43,6.22
2018-06-02 12:50:02,3.817,26.85,33.44,6.15
2018-06-02 13:00:02,3.816,26.87,33.43,6.11
2018-06-02 13:10:02,3.812,26.84,33.44,6.12
2018-06-02 13:20:01,3.81,26.88,33.44,6.25
2018-06-02 13:30:02,3.806,26.84,33.45,6.24
2018-06-02 13:40:01,3.81,26.84,33.44,6.3
2018-06-02 13:50:01,3.809,26.87,33.44,6.15
2018-06-02 14:00:01,3.808,26.8,33.45,6.01
2018-06-02 14:10:02,3.805,26.87,33.43,6.15
2018-06-02 14:20:02,3.81,26.9,33.41,6.33
2018-06-02 14:30:02,3.806,26.92,33.37,6.4
2018-06-02 14:40:02,3.803,26.86,33.43,6.02
2018-06-02 14:50:01,3.797,26.91,33.41,6.24
2018-06-02 15:00:01,3.801,26.89,33.38,6.25
2018-06-02 15:10:01,3.8,26.88,33.42,6.05
2018-06-02 15:20:01,3.797,26.89,33.43,6.03
2018-06-02 15:30:02,3.797,26.91,33.43,6.21
2018-06-02 15:40:01,3.797,26.95,33.37,6.21
2018-06-02 15:50:02,3.798,26.96,33.36,6.31
2018-06-02 16:00:01,3.793,27.03,33.4,6.34
2018-06-02 16:10:01,3.79,26.93,33.41,6.18
2018-06-02 16:20:01,3.799,26.92,33.43,6.07
