DateTime,Depth,Temperature,Salinity,DissolvedOxygen
2018/06/01 00:00:01,0.973,30.63,32.32,7.18
2018/06/01 0:10:01,0.973,30.58,32.32,7.14
2018/06/01 0:20:01,0.972,30.53,32.31,7.12
2018/06/01 0:30:01,0.971,30.43,32.34,7.17
2018/06/01 0:40:01,0.973,30.47,32.31,7.19
2018/06/01 0:50:02,0.972,30.42,32.32,7.18
2018/06/01 1:00:02,0.97,30.4,32.3,7.05
2018/06/01 1:10:02,0.97,30.38,32.32,6.97
2018/06/01 1:20:01,0.972,30.4,32.3,7.02
2018/06/01 1:30:01,0.972,30.39,32.3,6.95
2018/06/01 1:40:01,0.971,30.35,32.31,7.08
2018/06/01 1:50:02,0.971,30.37,32.3,6.93
2018/06/01 2:00:01,0.971,30.34,32.3,6.51
2018/06/01 2:10:02,0.971,30.27,32.31,6.45
2018/06/01 2:20:02,0.969,30.26,32.32,6.04
2018/06/01 2:30:01,0.969,30.13,32.39,5.75
2018/06/01 2:40:02,0.968,30.19,32.37,5.89
2018/06/01 2:50:01,0.969,30.17,32.36,5.5
2018/06/01 3:00:01,0.969,30.02,32.36,5.86
2018/06/01 3:10:02,0.969,30.08,32.37,5.86
2018/06/01 3:20:02,0.969,30.04,32.4,5.39
2018/06/01 3:30:02,0.97,30.21,32.31,5.45
2018/06/01 3:40:01,0.969,30.23,32.34,5.02
2018/06/01 3:50:01,0.969,30.19,32.38,4.84
2018/06/01 4:00:01,0.969,30.19,32.33,4.94
2018/06/01 4:10:02,0.969,30.09,32.33,4.91
2018/06/01 4:20:01,0.97,30.02,32.38,4.65
2018/06/01 4:30:01,0.97,29.74,32.43,4.8
2018/06/01 4:40:01,0.97,29.93,32.33,4.73
2018/06/01 4:50:02,0.971,30.07,32.32,6.31
2018/06/01 5:00:01,0.972,30.06,32.32,6.02
2018/06/01 5:10:01,0.971,30.05,32.32,5.83
2018/06/01 5:20:01,0.971,30.05,32.31,5.44
2018/06/01 5:30:02,0.972,30.06,32.32,4.69
2018/06/01 5:40:01,0.974,30,32.33,5.41
2018/06/01 5:50:02,0.974,29.93,32.31,5.92
2018/06/01 6:00:01,0.975,29.95,32.3,5.96
2018/06/01 6:10:01,0.976,29.92,32.3,5.62
2018/06/01 6:20:02,0.976,29.95,32.31,4.72
